product_name,category,brand,price,product_id
Pigeon Storage Solution,Home,Pigeon,30.61,121
Boat Smartphone,Electronics,Boat,14310.23,122
HP Smart Watch,Electronics,HP,5139.95,123
Classmate Fiction,Books,Classmate,12139.46,124
Boat Headphones,Electronics,Boat,96229.02,125
Xiaomi Smart Watch,Electronics,Xiaomi,2279.03,126
Pepe Jeans Women's Footwear,Fashion,Pepe Jeans,12482.67,127
OnePlus Smart Watch,Electronics,OnePlus,13978.94,128
Dell Camera,Electronics,Dell,189.26,129
H&M Dress,Fashion,H&M,6663.81,130
Lakme Women's Haircare,Beauty,Lakme,40.86,131
Fabfurnish Kitchen Appliance,Home,Fabfurnish,7485.07,132
Fabindia Saree,Fashion,Fabindia,1029.91,133
Levi's Dress,Fashion,Levi's,4752.6,134
Dell Camera,Electronics,Dell,4486.71,135
Sugar Cosmetics Men's Grooming Kit,Beauty,Sugar Cosmetics,8669.73,136
IKEA Home Decor,Home,IKEA,2220.73,137
Puma Sportswear,Sports,Puma,512.77,138
Sony Headphones,Electronics,Sony,2600.3,139
Prestige Kitchen Appliance,Home,Prestige,1593.73,140
OnePlus Tablet,Electronics,OnePlus,785.73,141
Dell Headphones,Electronics,Dell,8388.27,142
W Men's T-shirt,Fashion,W,906.56,143
Home Centre Bedding,Home,Home Centre,4058.03,144
Vivo Smart Watch,Electronics,Vivo,11493.63,145
L'Oreal Women's Perfume,Beauty,L'Oreal,4486.14,146
Classmate Fiction,Books,Classmate,1926.04,147
Xiaomi Tablet,Electronics,Xiaomi,3459.01,148
Godrej Kitchen Appliance,Home,Godrej,126.35,149
Biba Women's Jeans,Fashion,Biba,2463.64,150
Nike Yoga Accessories,Sports,Nike,5692.72,151
Dove Women's Perfume,Beauty,Dove,414.68,152
H&M Saree,Fashion,H&M,39405.43,153
Puma Dress,Fashion,Puma,3916.16,154
IKEA Kitchen Appliance,Home,IKEA,919.8,155
Allen Solly Women's Kurta,Fashion,Allen Solly,19235.66,156
Mamaearth Women's Haircare,Beauty,Mamaearth,4678.93,157
IKEA Furniture,Home,IKEA,6345.98,158
JBL Smart Watch,Electronics,JBL,7038.43,159
Puma Women's Kurta,Fashion,Puma,41906.04,160
Nike Women's Jeans,Fashion,Nike,4315.26,161
LG Storage Solution,Home,LG,12663.34,162
L'Oreal Women's Haircare,Beauty,L'Oreal,3342.14,163
Allen Solly Dress,Fashion,Allen Solly,1561.11,164
Van Heusen Men's Kurta,Fashion,Van Heusen,454.9,165
Nivea Men's Grooming Kit,Beauty,Nivea,1775.54,166
Nike Yoga Accessories,Sports,Nike,21782.76,167
Boat Smart Watch,Electronics,Boat,13859.27,168
Prestige Storage Solution,Home,Prestige,328.88,169
Adidas Yoga Accessories,Sports,Adidas,30.17,170
LG Storage Solution,Home,LG,2701.27,171
Penguin Fiction,Books,Penguin,685.17,172
Home Centre Bedding,Home,Home Centre,34554.89,173
Biotique Women's Skincare,Beauty,Biotique,367.53,174
Lakme Women's Perfume,Beauty,Lakme,76879.88,175
Parker Self-help,Books,Parker,2131.57,176
Vivo Smartphone,Electronics,Vivo,358.37,177
Home Centre Furniture,Home,Home Centre,12383.23,178
Biotique Women's Perfume,Beauty,Biotique,12285.75,179
JBL Smartphone,Electronics,JBL,3249.21,180
Zara Men's Footwear,Fashion,Zara,641.65,181
Zara Men's T-shirt,Fashion,Zara,2184.28,182
HP Laptop,Electronics,HP,7047.55,183
Levi's Women's Jeans,Fashion,Levi's,1630.58,184
Nike Men's T-shirt,Fashion,Nike,1956.24,185
Nike Yoga Accessories,Sports,Nike,3760.35,186
Lakme Men's Haircare,Beauty,Lakme,9524.28,187
Fabindia Women's T-shirt,Fashion,Fabindia,73.16,188
Fabindia Dress,Fashion,Fabindia,33308.53,189
Reynolds Academic,Books,Reynolds,1254.85,190
Reebok Outdoor Gear,Sports,Reebok,13777.98,191
Pigeon Home Decor,Home,Pigeon,39688.21,192
Fabfurnish Bedding,Home,Fabfurnish,804.26,193
Tata Snacks,Grocery,Tata,11611.4,194
IKEA Furniture,Home,IKEA,4553.81,195
Biba Men's Footwear,Fashion,Biba,8886.72,196
Fabfurnish Home Decor,Home,Fabfurnish,203.48,197
Parker Self-help,Books,Parker,2857.16,198
Adidas Saree,Fashion,Adidas,3824.64,199
Adidas Women's Jeans,Fashion,Adidas,251.82,200
L'Oreal Women's Makeup,Beauty,L'Oreal,56481.9,201
HP Laptop,Electronics,HP,13341.69,202
Dell Smartphone,Electronics,Dell,3622.42,203
Van Heusen Saree,Fashion,Van Heusen,520.06,204
H&M Women's Footwear,Fashion,H&M,4694.04,205
Boat Camera,Electronics,Boat,2822.81,206
Van Heusen Women's T-shirt,Fashion,Van Heusen,837.47,207
Classmate Children's Book,Books,Classmate,767.02,208
Puma Outdoor Gear,Sports,Puma,13909.79,209
Puma Gym Equipment,Sports,Puma,12176.04,210
JBL Tablet,Electronics,JBL,735.66,211
IKEA Kitchen Appliance,Home,IKEA,619.31,212
Sugar Cosmetics Women's Skincare,Beauty,Sugar Cosmetics,621.35,213
Realme Smart Watch,Electronics,Realme,118.66,214
Classmate Academic,Books,Classmate,547.64,215
Samsung Laptop,Electronics,Samsung,746.4,216
Adidas Gym Equipment,Sports,Adidas,3913.51,217
Realme Headphones,Electronics,Realme,75167.86,218
Nike Men's Kurta,Fashion,Nike,1841.28,219
Zara Dress,Fashion,Zara,10857.52,220
JBL Laptop,Electronics,JBL,79023.42,221
Home Centre Bedding,Home,Home Centre,8534.33,222
Levi's Men's Kurta,Fashion,Levi's,14988.43,223
Biotique Women's Makeup,Beauty,Biotique,14028.84,224
Home Centre Kitchen Appliance,Home,Home Centre,1536.66,225
Prestige Storage Solution,Home,Prestige,5855.42,226
IKEA Kitchen Appliance,Home,IKEA,864.9,227
Zara Women's Footwear,Fashion,Zara,9485.6,228
Adidas Women's Footwear,Fashion,Adidas,701.1,229
Home Centre Home Decor,Home,Home Centre,8469.1,230
Home Centre Bedding,Home,Home Centre,98432.97,231
H&M Dress,Fashion,H&M,474.91,232
Lakme Women's Skincare,Beauty,Lakme,649.62,233
Dove Women's Haircare,Beauty,Dove,9951.96,234
JBL Tablet,Electronics,JBL,6834.05,235
Puma Men's Footwear,Fashion,Puma,61040.11,236
Decathlon Sportswear,Sports,Decathlon,1126.28,237
H&M Women's Jeans,Fashion,H&M,1518.49,238
Boat Laptop,Electronics,Boat,1521.52,239
Van Heusen Women's Jeans,Fashion,Van Heusen,1623.61,240
Cosco Outdoor Gear,Sports,Cosco,11206.18,241
Xiaomi Camera,Electronics,Xiaomi,14876.29,242
Parker Academic,Books,Parker,5679.8,243
Mamaearth Women's Perfume,Beauty,Mamaearth,1885.52,244
Lenovo Tablet,Electronics,Lenovo,4547.05,245
Puma Saree,Fashion,Puma,214.78,246
Levi's Saree,Fashion,Levi's,4523.42,247
JBL Laptop,Electronics,JBL,2873.99,248
Adidas Women's Footwear,Fashion,Adidas,3038.36,249
Penguin Non-fiction,Books,Penguin,977.54,250
IKEA Kitchen Appliance,Home,IKEA,146.99,251
W Women's Kurta,Fashion,W,8982.14,252
Penguin Academic,Books,Penguin,1145.59,253
Dell Headphones,Electronics,Dell,185.72,254
Tata Staples,Grocery,Tata,10240.33,255
Sony Laptop,Electronics,Sony,753.69,256
Reebok Yoga Accessories,Sports,Reebok,726.3,257
LG Storage Solution,Home,LG,60511.14,258
L'Oreal Women's Haircare,Beauty,L'Oreal,10324.42,259
Cosco Sportswear,Sports,Cosco,1272.1,260
Nike Gym Equipment,Sports,Nike,29144.8,261
Biba Dress,Fashion,Biba,3684.59,262
Nivia Sportswear,Sports,Nivia,743.33,263
Realme Camera,Electronics,Realme,27469.06,264
Xiaomi Camera,Electronics,Xiaomi,8662.51,265
HP Smartphone,Electronics,HP,3587.96,266
Godrej Home Decor,Home,Godrej,454.17,267
JBL Smartphone,Electronics,JBL,4628.57,268
H&M Men's T-shirt,Fashion,H&M,1637.39,269
JBL Tablet,Electronics,JBL,1653.77,270
Adidas Dress,Fashion,Adidas,5402.65,271
IKEA Storage Solution,Home,IKEA,3136.63,272
Adidas Women's Kurta,Fashion,Adidas,13614.7,273
LG Furniture,Home,LG,14247.44,274
Decathlon Outdoor Gear,Sports,Decathlon,8079.86,275
Classmate Fiction,Books,Classmate,321.07,276
H&M Men's T-shirt,Fashion,H&M,60242.9,277
H&M Men's Kurta,Fashion,H&M,949.77,278
Organic India Staples,Grocery,Organic India,11481.13,279
JBL Tablet,Electronics,JBL,359.03,280
IKEA Kitchen Appliance,Home,IKEA,3905.22,281
Britannia Staples,Grocery,Britannia,3325.28,282
Vivo Smartphone,Electronics,Vivo,14229.13,283
Lenovo Laptop,Electronics,Lenovo,320.07,284
Cosco Yoga Accessories,Sports,Cosco,3863.08,285
Parker Fiction,Books,Parker,2006.75,286
H&M Women's Footwear,Fashion,H&M,54881.74,287
Godrej Kitchen Appliance,Home,Godrej,2979.64,288
Adidas Women's Kurta,Fashion,Adidas,4750.98,289
Godrej Storage Solution,Home,Godrej,13583.71,290
Biotique Men's Grooming Kit,Beauty,Biotique,1708.5,291
Puma Women's T-shirt,Fashion,Puma,10989.14,292
W Women's Kurta,Fashion,W,7365.31,293
Lakme Women's Haircare,Beauty,Lakme,4667.68,294
Pigeon Kitchen Appliance,Home,Pigeon,36147.84,295
Samsung Camera,Electronics,Samsung,8074.67,296
Van Heusen Men's Kurta,Fashion,Van Heusen,354.27,297
Penguin Fiction,Books,Penguin,6178.87,298
Boat Camera,Electronics,Boat,4704.51,299
W Men's Jeans,Fashion,W,317.82,300
Penguin Non-fiction,Books,Penguin,3683.67,301
Prestige Furniture,Home,Prestige,790.95,302
Reebok Gym Equipment,Sports,Reebok,5158.1,303
Vivo Tablet,Electronics,Vivo,872.08,304
Adidas Dress,Fashion,Adidas,2507.83,305
Britannia Snacks,Grocery,Britannia,4694.46,306
Nivia Yoga Accessories,Sports,Nivia,36625.15,307
IKEA Furniture,Home,IKEA,262.63,308
Boat Smartphone,Electronics,Boat,7255.23,309
Apple Smartphone,Electronics,Apple,9544.33,310
OnePlus Camera,Electronics,OnePlus,15158.46,311
Home Centre Storage Solution,Home,Home Centre,6175.45,312
Amul Snacks,Grocery,Amul,13838.34,313
Sony Camera,Electronics,Sony,570.09,314
Puma Saree,Fashion,Puma,10993.36,315
Sony Tablet,Electronics,Sony,170.6,316
Boat Smartphone,Electronics,Boat,4282.17,317
JBL Laptop,Electronics,JBL,4172.51,318
Penguin Children's Book,Books,Penguin,3469.18,319
Prestige Bedding,Home,Prestige,818.39,320
Biba Dress,Fashion,Biba,9020.84,321
Penguin Non-fiction,Books,Penguin,11.08,322
Penguin Self-help,Books,Penguin,448.9,323
Fabfurnish Furniture,Home,Fabfurnish,8622.01,324
Prestige Furniture,Home,Prestige,234.78,325
Dove Women's Makeup,Beauty,Dove,1893.43,326
OnePlus Tablet,Electronics,OnePlus,2460.57,327
Penguin Children's Book,Books,Penguin,406.75,328
Reebok Outdoor Gear,Sports,Reebok,1508.86,329
Maybelline Men's Haircare,Beauty,Maybelline,4637.42,330
Puma Dress,Fashion,Puma,2484.78,331
Zara Dress,Fashion,Zara,8492.36,332
Harper Collins Non-fiction,Books,Harper Collins,960.94,333
Amul Organic Product,Grocery,Amul,720.57,334
Levi's Women's Jeans,Fashion,Levi's,5731.65,335
Apple Smartphone,Electronics,Apple,3637.87,336
Reynolds Children's Book,Books,Reynolds,9596.13,337
Adidas Dress,Fashion,Adidas,4176.77,338
Puma Sportswear,Sports,Puma,9429.51,339
IKEA Storage Solution,Home,IKEA,6459.36,340
Harper Collins Academic,Books,Harper Collins,7588.45,341
Reebok Gym Equipment,Sports,Reebok,414.01,342
Apple Headphones,Electronics,Apple,11980.85,343
Van Heusen Dress,Fashion,Van Heusen,3664.53,344
ITC Organic Product,Grocery,ITC,307.94,345
Levi's Women's Kurta,Fashion,Levi's,796.18,346
Biba Saree,Fashion,Biba,8248.49,347
Pigeon Furniture,Home,Pigeon,54.02,348
Amul Snacks,Grocery,Amul,353.67,349
Realme Smartphone,Electronics,Realme,213.55,350
Biotique Women's Haircare,Beauty,Biotique,8300.71,351
Adidas Gym Equipment,Sports,Adidas,571.41,352
Nike Outdoor Gear,Sports,Nike,307.61,353
Classmate Children's Book,Books,Classmate,9349.39,354
Nike Women's T-shirt,Fashion,Nike,14831.75,355
Puma Women's T-shirt,Fashion,Puma,11158.95,356
LG Bedding,Home,LG,4996.29,357
Puma Saree,Fashion,Puma,7134.31,358
Pigeon Kitchen Appliance,Home,Pigeon,22824.54,359
L'Oreal Women's Perfume,Beauty,L'Oreal,49108.08,360
ITC Snacks,Grocery,ITC,13373.26,361
Zara Saree,Fashion,Zara,69785.39,362
Tata Snacks,Grocery,Tata,225.15,363
Fabindia Women's Kurta,Fashion,Fabindia,4221.56,364
HP Tablet,Electronics,HP,70289.77,365
Whirlpool Bedding,Home,Whirlpool,8731.3,366
Tata Beverages,Grocery,Tata,3168.69,367
Apple Tablet,Electronics,Apple,12337.29,368
Zara Men's Kurta,Fashion,Zara,919.7,369
IKEA Bedding,Home,IKEA,9771.07,370
Boat Laptop,Electronics,Boat,1327.57,371
Cosco Gym Equipment,Sports,Cosco,9656.4,372
Maybelline Women's Makeup,Beauty,Maybelline,7777.28,373
LG Furniture,Home,LG,3466.14,374
Nike Outdoor Gear,Sports,Nike,12814.48,375
Dell Laptop,Electronics,Dell,3369.0,376
Apple Smartphone,Electronics,Apple,5564.18,377
Parker Non-fiction,Books,Parker,3751.64,378
Allen Solly Men's T-shirt,Fashion,Allen Solly,472.27,379
H&M Saree,Fashion,H&M,65991.55,380
Levi's Dress,Fashion,Levi's,433.5,381
Sugar Cosmetics Men's Grooming Kit,Beauty,Sugar Cosmetics,7355.61,382
Van Heusen Dress,Fashion,Van Heusen,2568.32,383
Whirlpool Furniture,Home,Whirlpool,48429.32,384
Britannia Organic Product,Grocery,Britannia,860.63,385
Fabfurnish Kitchen Appliance,Home,Fabfurnish,2483.68,386
Zara Men's T-shirt,Fashion,Zara,223.72,387
H&M Men's T-shirt,Fashion,H&M,1665.49,388
Sugar Cosmetics Women's Perfume,Beauty,Sugar Cosmetics,233.78,389
LG Furniture,Home,LG,2208.36,390
Prestige Bedding,Home,Prestige,1964.47,391
Sugar Cosmetics Women's Skincare,Beauty,Sugar Cosmetics,1413.36,392
Fabfurnish Storage Solution,Home,Fabfurnish,3401.78,393
Pigeon Furniture,Home,Pigeon,1966.41,394
Realme Headphones,Electronics,Realme,147.29,395
Allen Solly Women's T-shirt,Fashion,Allen Solly,11235.82,396
Fabindia Women's Kurta,Fashion,Fabindia,398.88,397
Dell Smartphone,Electronics,Dell,26976.41,398
Realme Tablet,Electronics,Realme,66575.18,399
Garnier Women's Skincare,Beauty,Garnier,3139.69,400
Pigeon Storage Solution,Home,Pigeon,3980.5,401
Vivo Headphones,Electronics,Vivo,2762.96,402
Levi's Dress,Fashion,Levi's,1811.37,403
H&M Men's Jeans,Fashion,H&M,55032.62,404
Pepe Jeans Men's Footwear,Fashion,Pepe Jeans,34442.86,405
Adidas Women's Footwear,Fashion,Adidas,302.48,406
Maybelline Women's Haircare,Beauty,Maybelline,22374.18,407
Reynolds Non-fiction,Books,Reynolds,555.5,408
Adidas Women's Kurta,Fashion,Adidas,71039.78,409
HP Smart Watch,Electronics,HP,679.98,410
Organic India Snacks,Grocery,Organic India,946.19,411
Biba Men's T-shirt,Fashion,Biba,2763.85,412
Whirlpool Storage Solution,Home,Whirlpool,2807.67,413
W Men's Footwear,Fashion,W,500.65,414
OnePlus Camera,Electronics,OnePlus,1399.02,415
Nike Saree,Fashion,Nike,63182.69,416
Classmate Children's Book,Books,Classmate,4214.97,417
Prestige Home Decor,Home,Prestige,974.5,418
Adidas Saree,Fashion,Adidas,858.69,419
Sugar Cosmetics Men's Haircare,Beauty,Sugar Cosmetics,1963.12,420
Lenovo Camera,Electronics,Lenovo,2987.98,421
Allen Solly Men's Footwear,Fashion,Allen Solly,92069.23,422
Pigeon Kitchen Appliance,Home,Pigeon,3588.22,423
Reynolds Children's Book,Books,Reynolds,797.67,424
Penguin Academic,Books,Penguin,688.98,425
W Men's T-shirt,Fashion,W,3081.52,426
Fabfurnish Kitchen Appliance,Home,Fabfurnish,277.58,427
Nykaa Women's Haircare,Beauty,Nykaa,3647.67,428
Van Heusen Women's Jeans,Fashion,Van Heusen,3868.51,429
Nivia Outdoor Gear,Sports,Nivia,3632.44,430
Pepe Jeans Dress,Fashion,Pepe Jeans,817.22,431
IKEA Home Decor,Home,IKEA,1740.89,432
Organic India Beverages,Grocery,Organic India,4586.97,433
HP Smart Watch,Electronics,HP,16383.47,434
Van Heusen Dress,Fashion,Van Heusen,980.34,435
Reynolds Academic,Books,Reynolds,3750.88,436
Apple Camera,Electronics,Apple,4588.28,437
Prestige Kitchen Appliance,Home,Prestige,898.86,438
W Men's Kurta,Fashion,W,53681.45,439
Vivo Headphones,Electronics,Vivo,202.28,440
Penguin Self-help,Books,Penguin,4642.14,441
Nivea Men's Perfume,Beauty,Nivea,23292.24,442
Godrej Furniture,Home,Godrej,864.27,443
Samsung Tablet,Electronics,Samsung,42072.39,444
Amul Organic Product,Grocery,Amul,4992.23,445
Britannia Beverages,Grocery,Britannia,1198.27,446
Levi's Women's T-shirt,Fashion,Levi's,2159.63,447
Apple Laptop,Electronics,Apple,1687.94,448
Boat Camera,Electronics,Boat,12207.59,449
Puma Outdoor Gear,Sports,Puma,3047.28,450
Parker Non-fiction,Books,Parker,855.46,451
Maybelline Men's Haircare,Beauty,Maybelline,2886.13,452
Godrej Home Decor,Home,Godrej,62824.37,453
Boat Headphones,Electronics,Boat,37357.48,454
Adidas Yoga Accessories,Sports,Adidas,9383.83,455
Fabindia Saree,Fashion,Fabindia,29803.29,456
Dell Smartphone,Electronics,Dell,2395.14,457
Realme Smart Watch,Electronics,Realme,3661.78,458
Penguin Fiction,Books,Penguin,71.36,459
Vivo Headphones,Electronics,Vivo,486.19,460
Apple Headphones,Electronics,Apple,905.09,461
Penguin Children's Book,Books,Penguin,97.57,462
OnePlus Tablet,Electronics,OnePlus,11039.7,463
Decathlon Outdoor Gear,Sports,Decathlon,270.42,464
Nivea Women's Perfume,Beauty,Nivea,4911.6,465
Xiaomi Smartphone,Electronics,Xiaomi,11766.87,466
Reynolds Non-fiction,Books,Reynolds,5190.34,467
Puma Men's Kurta,Fashion,Puma,72.22,468
Parker Fiction,Books,Parker,385.79,469
Adidas Sportswear,Sports,Adidas,2818.65,470
Prestige Storage Solution,Home,Prestige,916.18,471
Puma Women's Jeans,Fashion,Puma,967.94,472
Amul Beverages,Grocery,Amul,4514.02,473
Puma Yoga Accessories,Sports,Puma,3135.69,474
Reebok Yoga Accessories,Sports,Reebok,377.72,475
Dell Laptop,Electronics,Dell,391.27,476
Dell Tablet,Electronics,Dell,995.68,477
Godrej Kitchen Appliance,Home,Godrej,10234.66,478
IKEA Home Decor,Home,IKEA,894.58,479
ITC Staples,Grocery,ITC,343.99,480
Pigeon Furniture,Home,Pigeon,235.55,481
Lenovo Laptop,Electronics,Lenovo,1048.61,482
Amul Beverages,Grocery,Amul,3552.63,483
Van Heusen Men's Kurta,Fashion,Van Heusen,4173.82,484
Organic India Snacks,Grocery,Organic India,4665.92,485
Apple Smartphone,Electronics,Apple,2774.69,486
Cosco Sportswear,Sports,Cosco,4205.64,487
W Women's Kurta,Fashion,W,764.34,488
HP Tablet,Electronics,HP,9686.71,489
Prestige Home Decor,Home,Prestige,10442.06,490
Nivea Women's Makeup,Beauty,Nivea,1910.64,491
Biba Women's Kurta,Fashion,Biba,2802.8,492
Amul Organic Product,Grocery,Amul,988.68,493
Sony Smart Watch,Electronics,Sony,9928.96,494
Fabindia Men's Kurta,Fashion,Fabindia,11578.14,495
Sugar Cosmetics Women's Makeup,Beauty,Sugar Cosmetics,874.53,496
Sony Smart Watch,Electronics,Sony,1716.89,497
Puma Dress,Fashion,Puma,6235.04,498
Tata Snacks,Grocery,Tata,2598.41,499
Decathlon Yoga Accessories,Sports,Decathlon,3658.32,500
Parker Fiction,Books,Parker,2398.74,501
Samsung Camera,Electronics,Samsung,664.67,502
Puma Men's Jeans,Fashion,Puma,2516.35,503
Puma Saree,Fashion,Puma,7202.26,504
Zara Men's Jeans,Fashion,Zara,3162.22,505
Fabfurnish Bedding,Home,Fabfurnish,2965.9,506
Adidas Gym Equipment,Sports,Adidas,487.18,507
Tata Staples,Grocery,Tata,4920.5,508
L'Oreal Women's Perfume,Beauty,L'Oreal,53.52,509
Nestle Beverages,Grocery,Nestle,3468.93,510
Apple Camera,Electronics,Apple,1323.12,511
Pepe Jeans Dress,Fashion,Pepe Jeans,9315.19,512
Decathlon Sportswear,Sports,Decathlon,1650.81,513
Parle Beverages,Grocery,Parle,924.64,514
Nike Men's Footwear,Fashion,Nike,47330.89,515
OnePlus Tablet,Electronics,OnePlus,87670.63,516
Allen Solly Women's Kurta,Fashion,Allen Solly,538.1,517
Parker Academic,Books,Parker,3716.68,518
Levi's Men's T-shirt,Fashion,Levi's,62712.22,519
W Men's T-shirt,Fashion,W,93488.31,520
Tata Beverages,Grocery,Tata,3166.43,521
IKEA Kitchen Appliance,Home,IKEA,291.32,522
Nivea Women's Perfume,Beauty,Nivea,537.18,523
Home Centre Furniture,Home,Home Centre,546.47,524
Maybelline Women's Skincare,Beauty,Maybelline,9773.61,525
Harper Collins Fiction,Books,Harper Collins,10337.9,526
